Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Marks
"What is 4 + 3?",6,7,8,9,B,1
"What is 5 + 4?",8,9,10,11,B,1
"What is 6 + 5?",10,11,12,13,B,1
"What is 7 + 6?",12,13,14,15,B,1
"What is 8 + 7?",14,15,16,17,B,1
"What is 9 + 8?",16,17,18,19,B,1
"What is 10 + 9?",18,19,20,21,B,1
"What is 11 + 2?",12,13,14,15,B,1
"What is 12 + 3?",14,15,16,17,B,1
"What is 13 + 4?",16,17,18,19,B,1
"What is 14 + 5?",18,19,20,21,B,1
"What is 15 + 6?",20,21,22,23,B,1
"What is 16 + 7?",22,23,24,25,B,1
"What is 17 + 8?",24,25,26,27,B,1
"What is 18 + 9?",26,27,28,29,B,1
"What is 19 + 2?",20,21,22,23,B,1
"What is 20 + 3?",22,23,24,25,B,1
"What is 21 + 4?",24,25,26,27,B,1
"What is 22 + 5?",26,27,28,29,B,1
"What is 23 + 6?",28,29,30,31,B,1
"What is 19 - 3?",15,16,17,18,B,1
"What is 20 - 4?",15,16,17,18,B,1
"What is 21 - 5?",15,16,17,18,B,1
"What is 22 - 6?",15,16,17,18,B,1
"What is 23 - 7?",15,16,17,18,B,1
"What is 24 - 2?",21,22,23,24,B,1
"What is 25 - 3?",21,22,23,24,B,1
"What is 26 - 4?",21,22,23,24,B,1
"What is 27 - 5?",21,22,23,24,B,1
"What is 28 - 6?",21,22,23,24,B,1
"What is 29 - 7?",21,22,23,24,B,1
"What is 30 - 2?",27,28,29,30,B,1
"What is 31 - 3?",27,28,29,30,B,1
"What is 32 - 4?",27,28,29,30,B,1
"What is 33 - 5?",27,28,29,30,B,1
"What is 4 x 3?",11,12,13,14,B,1
"What is 5 x 4?",19,20,21,22,B,1
"What is 6 x 5?",29,30,31,32,B,1
"What is 7 x 6?",41,42,43,44,B,1
"What is 8 x 2?",15,16,17,18,B,1
"What is 9 x 3?",26,27,28,29,B,1
"What is 3 x 4?",11,12,13,14,B,1
"What is 4 x 5?",19,20,21,22,B,1
"What is 5 x 6?",29,30,31,32,B,1
"What is 6 x 2?",11,12,13,14,B,1
"What is 15 / 3?",4,5,6,7,B,1
"What is 24 / 4?",5,6,7,8,B,1
"What is 35 / 5?",6,7,8,9,B,1
"What is 16 / 2?",7,8,9,10,B,1
"What is 27 / 3?",8,9,10,11,B,1
